"Activity" "Subject" "n_distinct(Activity, ave_val = mean(Subject))"
"LAYING" 1 29
"LAYING" 2 30
"LAYING" 3 28
"LAYING" 4 26
"LAYING" 5 26
"LAYING" 6 26
"LAYING" 7 30
"LAYING" 8 26
"LAYING" 9 23
"LAYING" 10 23
"LAYING" 11 24
"LAYING" 12 29
"LAYING" 13 26
"LAYING" 14 27
"LAYING" 15 25
"LAYING" 16 33
"LAYING" 17 34
"LAYING" 18 31
"LAYING" 19 33
"LAYING" 20 34
"LAYING" 21 37
"LAYING" 22 37
"LAYING" 23 32
"LAYING" 24 31
"LAYING" 25 35
"LAYING" 26 33
"LAYING" 27 36
"LAYING" 28 33
"LAYING" 29 29
"LAYING" 30 27
"SITTING" 1 24
"SITTING" 2 27
"SITTING" 3 24
"SITTING" 4 23
"SITTING" 5 24
"SITTING" 6 24
"SITTING" 7 26
"SITTING" 8 20
"SITTING" 9 22
"SITTING" 10 20
"SITTING" 11 23
"SITTING" 12 25
"SITTING" 13 24
"SITTING" 14 24
"SITTING" 15 25
"SITTING" 16 26
"SITTING" 17 27
"SITTING" 18 30
"SITTING" 19 21
"SITTING" 20 23
"SITTING" 21 23
"SITTING" 22 25
"SITTING" 23 30
"SITTING" 24 28
"SITTING" 25 29
"SITTING" 26 27
"SITTING" 27 29
"SITTING" 28 26
"SITTING" 29 27
"SITTING" 30 29
"STANDING" 1 26
"STANDING" 2 28
"STANDING" 3 24
"STANDING" 4 28
"STANDING" 5 25
"STANDING" 6 26
"STANDING" 7 32
"STANDING" 8 24
"STANDING" 9 26
"STANDING" 10 29
"STANDING" 11 25
"STANDING" 12 27
"STANDING" 13 24
"STANDING" 14 29
"STANDING" 15 28
"STANDING" 16 30
"STANDING" 17 32
"STANDING" 18 31
"STANDING" 19 38
"STANDING" 20 33
"STANDING" 21 34
"STANDING" 22 33
"STANDING" 23 30
"STANDING" 24 38
"STANDING" 25 36
"STANDING" 26 42
"STANDING" 27 33
"STANDING" 28 31
"STANDING" 29 27
"STANDING" 30 28
"WALKING_DOWNSTAIRS" 1 25
"WALKING_DOWNSTAIRS" 2 32
"WALKING_DOWNSTAIRS" 3 32
"WALKING_DOWNSTAIRS" 4 24
"WALKING_DOWNSTAIRS" 5 25
"WALKING_DOWNSTAIRS" 6 24
"WALKING_DOWNSTAIRS" 7 27
"WALKING_DOWNSTAIRS" 8 22
"WALKING_DOWNSTAIRS" 9 24
"WALKING_DOWNSTAIRS" 10 25
"WALKING_DOWNSTAIRS" 11 26
"WALKING_DOWNSTAIRS" 12 29
"WALKING_DOWNSTAIRS" 13 26
"WALKING_DOWNSTAIRS" 14 26
"WALKING_DOWNSTAIRS" 15 24
"WALKING_DOWNSTAIRS" 16 24
"WALKING_DOWNSTAIRS" 17 26
"WALKING_DOWNSTAIRS" 18 26
"WALKING_DOWNSTAIRS" 19 21
"WALKING_DOWNSTAIRS" 20 24
"WALKING_DOWNSTAIRS" 21 24
"WALKING_DOWNSTAIRS" 22 28
"WALKING_DOWNSTAIRS" 23 24
"WALKING_DOWNSTAIRS" 24 27
"WALKING_DOWNSTAIRS" 25 29
"WALKING_DOWNSTAIRS" 26 26
"WALKING_DOWNSTAIRS" 27 25
"WALKING_DOWNSTAIRS" 28 24
"WALKING_DOWNSTAIRS" 29 24
"WALKING_DOWNSTAIRS" 30 29
"WALKING_UPSTAIRS" 1 36
"WALKING_UPSTAIRS" 2 31
"WALKING_UPSTAIRS" 3 26
"WALKING_UPSTAIRS" 4 27
"WALKING_UPSTAIRS" 5 26
"WALKING_UPSTAIRS" 6 26
"WALKING_UPSTAIRS" 7 32
"WALKING_UPSTAIRS" 8 24
"WALKING_UPSTAIRS" 9 24
"WALKING_UPSTAIRS" 10 25
"WALKING_UPSTAIRS" 11 27
"WALKING_UPSTAIRS" 12 27
"WALKING_UPSTAIRS" 13 26
"WALKING_UPSTAIRS" 14 27
"WALKING_UPSTAIRS" 15 26
"WALKING_UPSTAIRS" 16 24
"WALKING_UPSTAIRS" 17 31
"WALKING_UPSTAIRS" 18 26
"WALKING_UPSTAIRS" 19 24
"WALKING_UPSTAIRS" 20 24
"WALKING_UPSTAIRS" 21 24
"WALKING_UPSTAIRS" 22 27
"WALKING_UPSTAIRS" 23 29
"WALKING_UPSTAIRS" 24 26
"WALKING_UPSTAIRS" 25 35
"WALKING_UPSTAIRS" 26 27
"WALKING_UPSTAIRS" 27 29
"WALKING_UPSTAIRS" 28 26
"WALKING_UPSTAIRS" 29 25
"WALKING_UPSTAIRS" 30 29
NA 1 24
NA 2 24
NA 3 28
NA 4 26
NA 5 25
NA 6 26
NA 7 31
NA 8 26
NA 9 24
NA 10 26
NA 11 32
NA 12 37
NA 13 30
NA 14 24
NA 15 34
NA 16 31
NA 17 35
NA 18 33
NA 19 50
NA 20 38
NA 21 37
NA 22 41
NA 23 33
NA 24 37
NA 25 36
NA 26 36
NA 27 33
NA 28 33
NA 29 34
NA 30 35
